context,question,answers.text,answers.answers_start
"The important point is this: the first person hired for postproduction sound will be the supervisor. Some films have a sound designer and a supervising sound editor. The two positions have different tasks. The sound designer is responsible for very specific conceptual sound effects, and the supervising sound editor is the team leader for the rest of the sound crew.",What is the sound designer responsible for?,very specific conceptual sound effects,250
"The important point is this: the first person hired for postproduction sound will be the supervisor. Some films have a sound designer and a supervising sound editor. The two positions have different tasks. The sound designer is responsible for very specific conceptual sound effects, and the supervising sound editor is the team leader for the rest of the sound crew.",Who is the team leader for the sound crew?,supervising sound editor,300
Audio processing equipment such as equalization and compression were developed in the early part of the twentieth century. Equalization originated as a technological solution to maintain spectral consistency and clarity over long-distance telephone lines by compensating for high-frequency losses.,When were equalization and compression developed?,early part of the twentieth century,87
"In auditory perception, notes begin and decay. A stream of sound radiating from a source may be dampened by air or obstructed by objects, attenuating frequencies, before reaching a perceiver. The perceiver’s physical position – distance, angle, in light or shade – determines what patterns may be perceived. Every percept is embodied. Bodies, their potential for psychophysical experience and subjectivity, dictate what is perceived in the environment as well as what is done as a result of perceiving that information. Varela, Thompson and Rosch (1993) assert a perceiver’s embodiment is its fundamental connection to its environment. Gibson referred to the combination of factors that determine what is detected as the perceiver’s ‘vantage’ ([1979] 1986).",What determines what audio patterns may be perceived?,"physical position – distance, angle, in light or shade",212
"It may not be an overstatement to say that classical recording studios are mysterious spaces – producers and sound engineers often call their work a ‘black art’. For decades, the practices of, and discourses around, classical recording have been ones of self-effacement: we are not meant to be aware of anything that might get in the way of the transmission of the composer’s work, via the performer, to the listener. The producers, engineers, and by extension conductors and performers, have by and large aimed for a simulation of a ‘best seat in the house’ concert experience, with no sense given of how this was achieved",Recording producers aim for what kind of experience?,best seat in the house,546
"Groove is a musical term used by musicians, fans and academics alike. It is used (as a noun) to name a characteristic rhythmic pattern typical of a musical style (i.e. swing groove, rock groove, funk groove) but also (as is reflected in the adjective ‘groovy’) to evoke the particular pleasurable quality of, as well as the appeal to dance and motion emanating from, such patterns when they are performed well.1 Producing a groove thus involves more than creating the correct rhythmic pattern; it entails the detailed manipulation of the ‘analogue aspects’ (Kvifte 2007) of rhythm – that is, features such as microtiming, choice and processing of sounds, and so on.",What is groove?,a characteristic rhythmic pattern typical of a musical style,102
"Groove is a musical term used by musicians, fans and academics alike. It is used (as a noun) to name a characteristic rhythmic pattern typical of a musical style (i.e. swing groove, rock groove, funk groove) but also (as is reflected in the adjective ‘groovy’) to evoke the particular pleasurable quality of, as well as the appeal to dance and motion emanating from, such patterns when they are performed well.1 Producing a groove thus involves more than creating the correct rhythmic pattern; it entails the detailed manipulation of the ‘analogue aspects’ (Kvifte 2007) of rhythm – that is, features such as microtiming, choice and processing of sounds, and so on.",What does producing a groove entail?,"analogue aspects of rhythm such as microtiming, choice and processing of sounds, and so on",549
"Groove is a musical term used by musicians, fans and academics alike. It is used (as a noun) to name a characteristic rhythmic pattern typical of a musical style (i.e. swing groove, rock groove, funk groove) but also (as is reflected in the adjective ‘groovy’) to evoke the particular pleasurable quality of, as well as the appeal to dance and motion emanating from, such patterns when they are performed well.1 Producing a groove thus involves more than creating the correct rhythmic pattern; it entails the detailed manipulation of the ‘analogue aspects’ (Kvifte 2007) of rhythm – that is, features such as microtiming, choice and processing of sounds, and so on.",What is groove?,a characteristic rhythmic pattern typical of a musical style,102
"Groove is a musical term used by musicians, fans and academics alike. It is used (as a noun) to name a characteristic rhythmic pattern typical of a musical style (i.e. swing groove, rock groove, funk groove) but also (as is reflected in the adjective ‘groovy’) to evoke the particular pleasurable quality of, as well as the appeal to dance and motion emanating from, such patterns when they are performed well.1 Producing a groove thus involves more than creating the correct rhythmic pattern; it entails the detailed manipulation of the ‘analogue aspects’ (Kvifte 2007) of rhythm – that is, features such as microtiming, choice and processing of sounds, and so on.",What does producing a groove entail?,"analogue aspects of rhythm such as microtiming, choice and processing of sounds, and so on",549
"Record production as a practice is little more than a century old and responds to societal and technological shifts. It is only in the past two decades or so that a theoretical analysis of production (inde- pendent of technical considerations) has emerged as a field of academic study within the broader disciplines of ethnomusicology, musicology, and anthropology. Classifi cation is an ancient practice and perhaps the most fundamental of scientifi c interpretive tools, although it is complex, ever changing, and sometimes controver- sial with regard to common criteria chosen for inclusion in a category",How old is record production?,little more than a century old,35
"Record production as a practice is little more than a century old and responds to societal and technological shifts. It is only in the past two decades or so that a theoretical analysis of production (inde- pendent of technical considerations) has emerged as a field of academic study within the broader disciplines of ethnomusicology, musicology, and anthropology. Classifi cation is an ancient practice and perhaps the most fundamental of scientifi c interpretive tools, although it is complex, ever changing, and sometimes controver- sial with regard to common criteria chosen for inclusion in a category",theoretical analysis of production falls in which academic disciplines?,"ethnomusicology, musicology, and anthropology",324
"The location in the stereo or surround field is controlled by the pan pot, which, like the fader, is a simple level control device. We localize discrete mix elements of the mix toward the pan-pot-specified louder location. Hard-panned tracks, for which the pan pot is turned fully to one side or the other, come entirely from one loudspeaker and listeners will reliably localize that sound at that location. As we back off the hard-panned setting to one that it is, for example, slightly louder in the left speaker than the right, a perceptual illusion of location between speakers is created.",What controls the location of in the stereo or surround field?,the pan pot,62
